##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	father_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2023471
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1108	50-51	0.754075559149058
1108	52-53	0.5808405679077069
1108	54-55	0.529249734053117
1108	56-57	0.7789075071692722
1108	58-59	0.6740789038410071
1108	60-61	0.7038762967236565
1108	62-63	0.781288178228273
1108	64-65	0.6334043626057664
1108	66-67	0.589282647355617
1108	68-69	0.6016442744182839
1108	70-71	0.5611678972694065
1108	72-73	0.6368041197048981
1108	74-75	0.6249651090934165
1108	76-77	0.8291618592148495
1108	78-79	0.8045949737199791
1108	80-81	0.7858839765243459
1108	82-83	0.8111950142884723
1108	84-85	0.8402504392640964
1108	86-87	0.8504419018673985
1108	88-89	0.8571424993255157
1108	90-91	0.9445844023797108
1108	92-93	0.9217713909986394
1108	94-95	1.034615978681039
1108	96-97	0.9867393639515285
1108	98-99	1.2206316045047068
1108	100-101	1.3467182244696296
1109	1	0.1843241313129269
1109	2	0.46703847189322545
1109	3	0.3503290626218529
1109	4	0.23653265791791256
1109	5	0.25038819771791054
1109	6	0.343534185939248
1109	7	0.3303469100802303
1109	8	0.4162193689593394
1109	9	0.2845744988102936
1109	10-11	0.43581293592226444
1109	12-13	0.4571047701916271
1109	14-15	0.24962365352154592
1109	16-17	0.44115855043657604
1109	18-19	0.2417340182502059
1109	20-21	0.4727611986237079
1109	22-23	0.3858904236962175
1109	24-25	0.49256454340672207
1109	26-27	0.4046808498607106
1109	28-29	0.4894857347042745
1109	30-31	0.39937702938567554
1109	32-33	0.34726998194371816
1109	34-35	0.3824163708207067
1109	36-37	0.44434451077413684
1109	38-39	0.40561599491430655
1109	40-41	0.4565444949899913
1109	42-43	0.5686890761077947
1109	44-45	0.5001599997062982
1109	46-47	0.40686711626580774
1109	48-49	0.49863813437230675
1109	50-51	0.6850048560755795
1109	52-53	0.3004662894400525
1109	54-55	0.4538929126191249
1109	56-57	0.41128187246292214
1109	58-59	0.47695134143064877
1109	60-61	0.5675411216774435
1109	62-63	0.6135340994937906
1109	64-65	0.6035458221840884
1109	66-67	0.5202363640924901
1109	68-69	0.7186262279697146
1109	70-71	0.6714897128009056
1109	72-73	0.7580194665329927
1109	74-75	0.6684816285733248
1109	76-77	0.7392608491947996
1109	78-79	0.6842238844378059
1109	80-81	0.8268311980091028
1109	82-83	0.8061833178254574
1109	84-85	0.8561512839808216
1109	86-87	0.8763836716816797
1109	88-89	0.8176949046559692
1109	90-91	0.8951117450535122
1109	92-93	1.1188442697311096
1109	94-95	1.034381172812271
1109	96-97	1.16954147248736
1109	98-99	1.426079643322602
1109	100-101	1.341008163173818
1110	1	0.2265401636595783
1110	2	0.3937417828508458
1110	3	0.10201918880315475
1110	4	0.15305126253335288
1110	5	0.25369207225004686
1110	6	0.33638923191102066
1110	7	0.12170742538737045
1110	8	0.17656024449675556
1110	9	0.35649254667828245
1110	10-11	0.3341079608666675
1110	12-13	0.2696016766761389
1110	14-15	0.18922201707318465
1110	16-17	0.27641263686385287
1110	18-19	0.20125206133924678
1110	20-21	0.393912822698006
1110	22-23	0.1482568051620845
1110	24-25	0.40844119022368375
1110	26-27	0.4129761649555306
1110	28-29	0.2633474063461634
1110	30-31	0.28101208672451605
1110	32-33	0.09821617098866398
1110	34-35	0.2064672376024106
1110	36-37	0.26459760727645687
1110	38-39	0.229188753545003
1110	40-41	0.26402201259956115
1110	42-43	0.30604449159466185
1110	44-45	0.38601482550510724
1110	46-47	0.3869049808952809
1110	48-49	0.40519199226346814
1110	50-51	0.3904962087397621
1110	52-53	0.34559833348147606
1110	54-55	0.45225164264781625
1110	56-57	0.4543344340644211
1110	58-59	0.34598320336000654
1110	60-61	0.23804716107304813
1110	62-63	0.3224955231424147
1110	64-65	0.3383455671930804
1110	66-67	0.4047852996671537
1110	68-69	0.5149728501921587
1110	70-71	0.3628027373117888
1110	72-73	0.4114315927723169
1110	74-75	0.5420603182199031
1110	76-77	0.46291348452863446
1110	78-79	0.47460279528141314
1110	80-81	0.5772847713821747
1110	82-83	0.7135391429364404
1110	84-85	0.6024277580729489
1110	86-87	0.5769358535274804
1110	88-89	0.42689770785035464
1110	90-91	0.5253971762597054
1110	92-93	0.5953958490881028
1110	94-95	0.6466527433623419
1110	96-97	0.5515104161520945
1110	98-99	0.7038754132708718
1110	100-101	0.7820065024893701
1111	1	-0.2179034459028273
1111	2	0.04460705459659664
1111	3	-0.19338294882881968
1111	4	-0.21618199849920217
1111	5	-0.19793611470342398
1111	6	-0.16546295389365184
1111	7	-0.2166719349927959
1111	8	-0.3502954060683763
1111	9	-0.17799810013822537
1111	10-11	-0.12035256340585221
1111	12-13	-0.2368154354000893
1111	14-15	-0.38473976536656807
1111	16-17	-0.3462200551131005
1111	18-19	-0.3495166980427413
1111	20-21	-0.284434261142529
1111	22-23	-0.2935406457760692
1111	24-25	-0.44328438571968576
1111	26-27	-0.20025387677187467
1111	28-29	-0.22292608932163205
1111	30-31	-0.2698182452078868
1111	32-33	-0.24877395402657498
1111	34-35	-0.15073892148937773
1111	36-37	-0.16616353798132621
1111	38-39	-0.1786544622870352
1111	40-41	-0.0733346172822067
1111	42-43	-0.18392648790564436
1111	44-45	-0.2391156248135644
1111	46-47	-0.0792424308869073
1111	48-49	0.0014470036429088395
1111	50-51	-0.0656269831144698
1111	52-53	0.020214329487394878
1111	54-55	0.07053292943479761
1111	56-57	0.12831988540999362
1111	58-59	-0.049940610314351375
1111	60-61	0.08023233123035567
1111	62-63	0.054310748719196056
1111	64-65	0.11932741351801468
1111	66-67	-0.09423225289284431
1111	68-69	-0.06617872765139765
1111	70-71	0.04274841153748099
1111	72-73	0.1432443137029793
1111	74-75	0.13610456195871024
1111	76-77	0.103477981670828
1111	78-79	0.08141489005054581
1111	80-81	0.10774502515291573
1111	82-83	0.1964578738489493
1111	84-85	0.21856548522347907
1111	86-87	0.2885886778499298
1111	88-89	0.39648587723790385
1111	90-91	0.437566959541023
1111	92-93	0.3832151705961664
1111	94-95	0.5883846560603949
1111	96-97	0.6097225663573944
1111	98-99	0.8996112115099422
1111	100-101	0.9579052947490112
1112	1	-0.10268860202944552
1112	2	-0.14246496326810387
1112	3	-0.12174410889730325
1112	4	-0.09699963389000743
1112	5	-0.14171173835709538
1112	6	-0.06373744363155254
1112	7	-0.2049474354634171
1112	8	-0.22059747301678811
1112	9	-0.08582322442676826
1112	10-11	-0.2984687392354388
1112	12-13	-0.21306203207351615
1112	14-15	-0.2524490660027041
1112	16-17	-0.1619360407986008
1112	18-19	-0.14581832437485076
1112	20-21	-0.17221213367648858
1112	22-23	-0.27731404265922066
1112	24-25	-0.39986591394755777
1112	26-27	-0.3090493834332406
1112	28-29	-0.21018039441130298
1112	30-31	-0.2893703958576026
1112	32-33	-0.15377929195874174
1112	34-35	-0.16129456390477515
1112	36-37	-0.24433107956350142
1112	38-39	-0.2765948574835235
1112	40-41	-0.2883253627607516
1112	42-43	-0.1259631380215609
1112	44-45	-0.30179822789251176
1112	46-47	-0.32211814708579567
1112	48-49	-0.20360638357511363
1112	50-51	-0.2558520132785205
1112	52-53	-0.3610766920475328
1112	54-55	-0.3303491322704275
1112	56-57	-0.2686177523813029
1112	58-59	-0.4392120773297279
1112	60-61	-0.2255004973683299
1112	62-63	-0.4256895750311287
1112	64-65	-0.35100205376267013
1112	66-67	-0.3556367528644202
1112	68-69	-0.3943281076300522
1112	70-71	-0.47277798279989014
1112	72-73	-0.33180322232016835
1112	74-75	-0.22482315643852502
1112	76-77	-0.4465094631336868
1112	78-79	-0.3370513546352143
1112	80-81	-0.38202959724365826
1112	82-83	-0.4036498718380628
1112	84-85	-0.43470522216308183
1112	86-87	-0.5312606519079353
1112	88-89	-0.44354059922150313
1112	90-91	-0.3451409039595248
1112	92-93	-0.22958872040894462
1112	94-95	-0.2629511693607931
1112	96-97	-0.17942200632376526
1112	98-99	-0.10611127287108246
1112	100-101	0.08792914962042886
1113	1	-0.3321992216289473
1113	2	-0.42726684493335654
1113	3	-0.2421328148585573
1113	4	-0.4182015045699643
1113	5	-0.2473060716798301
1113	6	-0.2935461838784903
1113	7	-0.33409113178363725
1113	8	-0.5357332208985
1113	9	-0.38027789129771605
1113	10-11	-0.47889144540484807
1113	12-13	-0.33269604109880646
1113	14-15	-0.3007250975362794
1113	16-17	-0.42323381960103035
1113	18-19	-0.16059182856805165
1113	20-21	-0.29235764546111653
1113	22-23	-0.21135945673253786
1113	24-25	-0.18398302151960166
1113	26-27	-0.37541808604108695
1113	28-29	-0.2784089181612188
1113	30-31	-0.39529862430546814
1113	32-33	-0.30093814798490115
1113	34-35	-0.23028663787049197
1113	36-37	-0.19827812466392203
1113	38-39	-0.2132341018687356
1113	40-41	-0.13894559825077124
1113	42-43	-0.10972992673099213
1113	44-45	0.04792141222347368
1113	46-47	-0.12277128425454009
1113	48-49	0.08411048564496326
1113	50-51	-0.22867262487032036
1113	52-53	-0.2539845283203874
1113	54-55	-0.15915335047883872
1113	56-57	-0.10244963979938149
1113	58-59	-0.23739180686021655
1113	60-61	-0.3034164063869653
1113	62-63	-0.11821616016570857
1113	64-65	-0.23367658262364444
1113	66-67	-0.051170381596172376
1113	68-69	-0.1183735433848696
1113	70-71	0.049466063459753684
1113	72-73	-0.05800199254539251
1113	74-75	0.10164740947757167
1113	76-77	-0.019839734557180577
1113	78-79	-0.04844057517077971
1113	80-81	0.04358857850370157
1113	82-83	0.04387339602676832
1113	84-85	0.16663095457873567
1113	86-87	0.18008041762608684
1113	88-89	0.02239496118749429
1113	90-91	0.2398345019904582
1113	92-93	0.14133759645319444
1113	94-95	0.19730248252679772
1113	96-97	0.22443173604795774
1113	98-99	0.25463241708922624
1113	100-101	0.18617914528412882
1114	1	-0.1775687096317995
1114	2	-0.41848802357526793
1114	3	-0.3872362979863766
1114	4	-0.08735542210015979
1114	5	-0.5048628743984409
1114	6	-0.3414387468346973
1114	7	-0.3852701852249254
1114	8	-0.46330849509589456
1114	9	-0.6180126143076734
1114	10-11	-0.5421406372882345
1114	12-13	-0.46473239673547795
1114	14-15	-0.43206134229666304
1114	16-17	-0.40822834691525856
1114	18-19	-0.4324133480525276
